Sender	Receiver	Amount	Priority
XQU	LUO	410	U
PZL	IEG	594	U
HSX	BFY	263	HU
WKT	HZZ	794	HU
SXR	YYU	237	N
TGG	RBW	480	U
TNS	QFW	973	U
SEC	JIA	678	HU
XSN	NKZ	449	U
LZB	ZFS	326	N
QOY	UNO	616	HU
HQQ	WIQ	497	N
NLP	TGG	425	U
DVB	FWD	563	U
CGO	HEP	402	N
KVQ	HMZ	1031	HU
UQR	RJX	836	HU
NUB	LRM	655	HU
RKE	YFV	642	HU
IOY	WFM	391	HU
GBV	BSF	677	N
JIA	GYR	430	N
PAD	SJN	298	HU
OUG	XEW	876	HU
PPW	KUL	314	N
EEM	XEW	441	N
FFJ	XBA	377	HU
KQH	TQE	310	HU
KGO	SOB	619	N
BKZ	OPV	195	U
FAS	RBX	458	U
EDI	OJA	385	N
FAF	HJY	221	N
IBK	FJD	485	HU
OJA	PWS	413	U
FZM	FXR	381	HU
DDC	HWH	696	HU
DMP	HPA	606	HU
YAD	SWN	481	HU
VHO	XTX	531	U
KKP	RGQ	352	U
YQX	GJK	459	HU
HJH	FQM	720	N
KAZ	HSU	496	HU
URW	EOU	532	N
HGD	UEN	904	HU
JAZ	JOZ	359	U
CBJ	YCP	692	U
NTD	WEW	858	U
RGQ	UXY	287	U
HMZ	PCI	503	HU
WAH	MGS	422	U
ZPO	QHW	401	U
DRL	KVY	290	N
UYU	VZB	320	HU
UDH	BGC	753	U
FAS	HQX	618	N
VIX	RWT	655	HU
HXU	HMA	811	HU
LUQ	GHK	426	HU
MCY	JLJ	663	HU
XSS	PRS	487	U
EFU	FPR	399	U
NXX	CEP	685	HU
UAD	JXG	507	U
PMV	SDJ	286	N
UEK	WBY	452	U
DSB	KNG	799	HU
ILL	NIN	734	N
GXL	XQF	208	U
FRP	ZMF	519	HU
GBV	IHN	669	U
EYP	GWX	175	HU
GCA	MRB	781	N
DRR	AXT	391	N
VOA	AYK	555	N
TVY	URW	461	N
UIO	UUB	815	U
EYP	NRH	204	U
LBB	SKP	471	U
NDQ	ILL	284	U
RYV	PZL	581	HU
SQN	JGK	945	N
EEZ	CGW	197	N
HES	SZB	487	U
FIW	BSF	470	N
UZH	LKF	808	HU
FUX	CBJ	303	U
BNS	XSS	599	U
GKR	ROO	839	HU
TNY	HWH	447	HU
EFU	JBT	358	N
ZWM	JLJ	467	N
SOY	CDE	600	HU
YQI	LVL	297	HU
FFJ	KVQ	822	U
SOQ	AOF	501	N
XSN	BXQ	80	U
KAZ	OJH	278	N
SEC	LVL	809	HU
FPR	UQR	304	HU
RNV	HDZ	479	U
BDV	QMI	508	U
EIQ	JOJ	180	N
BQC	BXQ	598	HU
VLW	GRC	584	HU
ZFO	SJI	874	N
UEK	ADN	706	HU
SXN	RSU	516	HU
ZWY	NDQ	483	U
GHK	YQM	621	N
CBH	DRL	322	U
YVJ	IGT	521	U
AXS	HWB	570	HU
TSF	CDE	610	N
YUI	HBP	273	U
YAD	EKM	792	HU
FPR	MYT	640	U
GVY	XVD	1001	U
PML	SHU	121	N
VCP	UEA	382	N
DAZ	XAP	157	HU
IFV	JRG	415	U
WNS	CIM	562	U
OJA	XZE	840	U
HQX	FFJ	411	U
BCS	PWS	260	U
SHU	GVY	438	N
UJF	ZCV	624	U
IGF	VCD	536	HU
ANK	EFC	763	HU
OVQ	XSK	440	N
RAE	SJN	170	HU
MIA	HDZ	690	U
NZW	ZMJ	277	U
JXG	MPP	623	HU
NGF	BGV	602	HU
VLW	CHM	573	U
KNR	CGQ	844	N
HRF	VKG	458	N
GGJ	RDP	237	N
UYU	GYS	512	N
JFB	AVM	453	U
CYO	IOI	627	U
JBR	BLT	826	N
OJA	UKE	138	N
ZPO	CDH	457	HU
BPN	QTZ	514	U
RCS	SWV	609	U
AXS	PGP	360	U
LNA	PWS	578	N
SWX	WIQ	576	HU
GKR	GVY	497	N
AVM	TTP	475	HU
DMV	FXR	793	N
TBY	KHW	634	N
OVQ	QQE	891	HU
TCJ	UTG	446	N
PPI	NQP	251	HU
THI	CEW	420	U
BIA	KIK	519	U
RWW	KDV	452	U
RWW	GAM	417	HU
MIA	SWX	184	N
GIC	CEP	340	HU
MRB	JTW	280	U
UES	GRC	561	U
EPW	KCM	568	U
BNC	NZY	807	HU
MGI	JFO	434	U
WTC	JRF	689	HU
AAK	WPO	404	HU
ZYH	EZW	197	N
HFP	LPD	586	N
OBF	OPV	396	HU
CDH	DKD	333	HU
FVE	LSO	348	N
TVY	NVR	717	HU
BQC	PGR	814	HU
DSB	BMT	701	N
EZW	ECV	445	N
THI	EEZ	238	N
VIX	UOA	544	HU
IAR	ZMO	722	N
KME	BGV	667	N
OUG	BAE	562	N
VSF	HGD	544	HU
ZUO	FCY	331	U
QSU	NOG	588	U
ZYH	JND	511	N
HXU	UDH	513	U
BFY	ZWD	459	N
PUS	XMH	268	HU
IBK	UYY	381	U
KUI	YBV	653	HU
ERF	ITZ	507	HU
DLB	AGK	502	U
KKP	QXV	462	N
FCY	XOT	780	N
QSZ	IAQ	503	HU
WFM	RQR	549	U
TNY	FWD	529	N
TGG	III	307	U
HES	UUX	486	N
LBB	FSX	757	U
VNP	QVW	591	N
XEW	HFJ	209	U
KPZ	FZM	515	U
XHU	RPD	611	HU
UQR	FAF	485	HU
CEP	VYG	656	U
ZTU	EVJ	465	HU
NRU	ODH	289	U
SZE	IHN	645	N
PZL	ZKP	552	HU
SWL	FDB	608	U
YSR	ZVD	708	U
XOT	APT	539	HU
PPI	JTW	174	U
LPO	VLW	524	U
ONC	JGK	172	N
EDR	BAX	393	U
TQH	EZW	690	N
KDX	GBV	155	U
QVR	XVV	521	N
HXU	MNT	378	U
LBB	JRY	439	U
JUE	VOA	695	HU
HGW	YAR	591	HU
OBY	OUG	758	U
ROO	TYX	273	HU
WJZ	HEG	326	HU
EIQ	NZY	349	U
HRI	UCW	474	N
ONK	KRP	299	N
AYK	HAD	336	HU
SEH	YQW	305	N
UEN	BXZ	620	N
PTO	VPO	609	U
VNF	EBF	683	U
JWA	OWR	1032	U
OKW	MOI	463	N
UEB	IPY	637	U
NVT	LRM	1153	U
NTD	NXR	612	N
JRY	IAQ	486	HU
HMA	SIV	305	HU
UOA	NIN	390	HU
NRH	LRF	162	N
UYB	VKA	185	N
LNA	ZTY	419	N
BMT	JGK	563	U
PWS	ABO	508	HU
NDQ	WBY	421	HU
IOI	CHS	136	U
BBP	GZM	631	HU
BKX	SLR	591	U
SKP	JHH	823	HU
IBK	LRA	128	N
WTJ	LKR	442	N
YZF	QES	850	N
UHB	UWV	523	N
OPV	HWA	776	N
BBY	IAQ	614	U
AKI	XVD	527	HU
QGE	SLU	682	HU
ODH	TKA	139	HU
UEA	VKA	432	N
ODH	OVH	621	N
LIP	PBY	768	HU
WPL	BXQ	653	N
BKX	FPH	538	U
BTY	JMV	728	U
TKA	GJV	502	U
VIX	BBP	278	U
JAD	CTR	494	HU
BGA	OVR	467	U
CHS	TBC	574	N
VHO	GJV	423	HU
XQF	JUO	630	HU
CXU	EZW	912	HU
BUS	RKE	140	HU
WXZ	WKT	616	N
XQU	WGM	355	N
WGM	ZWM	374	N
QVP	YYE	136	HU
AQD	PGE	448	N
DAZ	CBH	566	U
HMA	BSE	214	N
QGE	NSL	887	U
JAZ	PFK	348	U
RWC	EDR	44	N
XSS	JRS	477	N
AYI	UUX	970	N
EBF	SBP	819	HU
XWM	AYK	755	HU
TQE	BHP	657	N
VSQ	AJY	592	U
PBY	XQF	412	N
SFB	YPC	198	N
KHW	FRM	55	U
QKC	VQC	264	HU
JMU	BAB	143	U
LWJ	YXD	302	HU
NQP	ZGI	645	HU
SXN	EOH	323	N
WJZ	UXP	192	HU
WVY	HSX	305	HU
CNE	XTX	156	HU
MNT	AGK	660	HU
UNO	OJH	199	N
HGC	IEG	470	HU
CIC	TBE	615	U
TQE	JIJ	740	U
GVY	UWR	878	HU
BQC	GGJ	147	U
JAZ	PRS	684	N
XSD	FZM	388	HU
DSB	LRF	463	U
GED	SZB	789	U
ZKP	UQU	378	N
YTD	FSK	635	HU
KHM	SQA	481	U
TKA	NIU	401	U
UUZ	ZQJ	782	HU
MHM	MQI	455	N
HQX	GYS	457	N
LZB	SWX	639	HU
QOW	ONK	683	U
WGM	HNK	315	N
OVR	ZGX	729	U
CLK	TKE	372	HU
KWZ	GBV	322	N
RBW	FUX	33	HU
WPO	HDZ	470	N
JND	JOJ	563	HU
CGQ	BTY	358	N
HJY	IFV	748	HU
LPO	CJG	624	U
AOF	RRJ	519	N
FPR	CIC	861	N
GHK	NIN	199	N
ADN	YBW	557	U
IGF	PCI	669	U
ICL	MNT	300	HU
XPK	ZXZ	448	HU
VKS	QKC	488	N
YXQ	TNS	410	HU
WGO	ENT	513	N
XSK	WOV	469	HU
CIC	QZO	333	HU
NGS	UZH	652	N
TBC	OFO	384	HU
RWC	QXV	374	HU
SFM	EJZ	596	U
WXZ	DDC	839	U
QQE	QGP	147	HU
YCO	ZWP	539	HU
KQU	BGC	579	U
EIQ	NOI	505	U
AXT	SOB	1012	U
TAH	ZKP	751	N
CKH	JMU	393	U
SOD	IUQ	374	HU
SWL	JRF	682	N
XED	GVY	701	N
YPC	AVF	643	U
PGZ	XWG	379	N
ZVX	VLW	607	U
XVD	DXL	484	U
RYC	XCD	869	U
TQH	WGA	329	U
HMA	JLJ	506	N
VHO	PRR	294	U
TAH	MOI	303	N
BMT	HSX	500	N
GIC	VLW	453	N
JHZ	HFJ	400	HU
VNP	PPW	809	N
SQA	BKX	517	HU
ZFS	LQN	763	U
ROO	FCU	303	HU
KJH	XSS	450	U
VKC	BNS	219	N
MNT	MQI	788	HU
RVY	FZP	303	HU
KAP	CBF	794	HU
SFL	EBF	301	U
TBE	EBF	481	HU
JRY	BBP	75	U
CGO	BHP	450	HU
EVS	OBF	502	HU
DVT	YVF	116	HU
YKU	JIT	442	N
JMV	RGG	430	U
OVH	EFU	132	N
ZVX	ZGI	679	HU
GQI	MVX	257	U
WKS	IHN	456	N
VKA	QSZ	612	U
CBJ	WFM	394	U
XKY	MGV	648	N
ZUO	DNH	525	U
SZB	WXZ	797	U
JTW	IUQ	367	N
FPH	JRY	267	N
NUT	UAD	571	N
BNS	MOI	461	HU
RPM	YZD	440	U
NDQ	KME	599	U
SKP	HSU	596	U
SBH	UUX	503	N
RDQ	JZZ	626	U
ILT	TNV	650	N
TNS	ITQ	666	N
DOJ	NDQ	693	U
OLL	HDZ	758	HU
GBP	RUO	472	U
URY	TBE	411	HU
XZE	OTD	254	HU
GFC	GTY	452	U
JGK	XMX	314	HU
BDV	XKJ	582	U
LKR	QYR	460	HU
ZVR	DYE	388	N
MYG	GQI	304	U
JMU	ZVD	512	U
CQH	XXS	380	U
WCN	JIA	248	U
DOO	OUA	217	U
UEA	IFV	720	U
TAH	GBP	364	HU
HCB	HGC	347	N
GYR	THI	441	HU
TYX	OOU	384	HU
LHY	YTD	411	U
TBY	NUT	437	U
BGA	THI	379	HU
UAD	ZGX	281	HU
YZA	PKO	642	U
EJO	OPV	478	N
TSF	UDH	211	N
HQX	FGF	661	U
CTS	MFZ	152	U
VYG	XQF	419	U
VJA	ZFO	442	N
JAD	JLY	312	N
DYX	MTP	557	U
OVQ	ADN	198	HU
YZF	KVQ	803	HU
LRM	ZIM	573	HU
KKP	PBC	839	N
UCW	YYU	628	U
EEZ	DRL	162	HU
CHS	XAP	629	N
OMZ	UYG	589	HU
KCM	ZMJ	705	HU
KIK	SOD	714	N
HZE	FCT	591	N
IUQ	SXR	626	N
YXQ	ZQJ	383	HU
KRA	MNT	816	N
STC	ILR	147	U
HJY	NGH	123	U
VQA	QOW	241	U
BPN	JKU	681	U
UKE	XVD	278	HU
IHN	ZHF	423	N
NSL	QQE	516	HU
VSG	JOJ	403	U
LKF	FWD	83	N
TNY	XGS	733	U
QHW	TNV	484	N
UYY	OPV	606	HU
QXV	ZZE	500	U
CGO	PGZ	393	U
KPY	VEK	520	N
XOT	RUB	663	N
MYG	CEP	198	U
FQW	JIT	268	N
RJY	DVB	760	HU
JOJ	YFV	318	HU
WGM	YVB	503	HU
WCN	SWN	214	U
SHG	SST	637	N
DOO	EVT	618	HU
FIX	HFG	445	N
XMH	CHM	810	N
VWW	RXJ	397	HU
XAP	XSD	441	U
ZAG	MJU	720	HU
OVQ	HPD	591	N
JMX	SEC	670	HU
BSF	FZP	793	U
TKA	LKF	548	N
YQM	RTI	629	HU
EVJ	WER	371	HU
TBC	CIN	592	U
CGW	DYX	438	N
QJQ	FUM	755	N
BEX	DDK	490	N
GYR	JRG	506	HU
DVF	VPX	499	N
YJP	WPL	93	HU
BIA	THI	301	HU
HFG	JGG	892	N
JFO	PRR	641	N
NRH	ZXZ	507	HU
QFW	HBF	468	U
SIF	XQF	467	HU
VQC	TYX	587	U
TPT	QVW	656	N
XOT	NIU	303	HU
DKD	AYK	471	U
DMP	EAW	248	HU
FUM	GWX	414	HU
FUM	VPX	601	HU
MLJ	UAD	210	HU
YXH	EOB	703	N
OMZ	MQI	735	HU
UPD	EVJ	497	U
RWW	ETI	553	U
MRZ	FAS	768	N
CCI	LHY	383	N
ZGI	KZS	312	HU
MTK	YAD	269	U
XGS	MHM	304	U
HAD	OPV	357	N
EAW	XQU	574	U
GJV	THN	311	U
NWY	XLY	445	HU
GZO	QRG	530	U
HGD	NER	242	HU
HBF	WPL	783	N
SMD	EDR	761	U
EQF	YXQ	139	N
TYL	NRH	403	N
WTC	YGM	425	U
BZC	PUS	533	U
LQN	PYK	265	N
NTD	CIC	424	N
EWS	ZJU	656	U
HQX	YWP	698	HU
ZMF	SXR	545	U
DQP	ANK	567	N
YMC	UYU	370	U
MNT	XJY	411	U
VCH	PUS	732	U
YFF	VNP	513	HU
VNP	WVY	363	HU
EOH	QYR	826	N
UEK	VSF	383	N
FQM	YZK	725	HU
KZS	ILT	616	N
NXA	YBV	575	HU
ZMO	ZGI	437	HU
NVT	SWX	677	N
UDH	WVY	171	HU
JCH	NXA	302	HU
EIV	TSF	451	U
TGG	BLT	531	N
WTJ	AVM	520	N
FSK	APT	442	HU
QFG	BUN	441	N
FWD	NRH	593	HU
VQE	HPA	367	N
IJD	RJX	61	U
ZOP	BUS	500	HU
WJZ	TWD	672	HU
NUT	NTD	696	HU
PID	THJ	441	U
XEW	DSB	487	HU
FAS	TBY	802	HU
IHN	QYJ	371	HU
ILR	ZJY	473	U
OWU	QVR	597	U
JBT	MHM	370	HU
HMZ	TNS	407	N
SRZ	DSB	613	U
VOM	PGZ	355	U
AKP	NVN	591	N
LPK	ZWM	260	N
ZWP	HWA	96	HU
VCD	BTW	623	U
FPH	PNL	473	U
YWP	CBH	413	HU
NOH	JEG	395	HU
EWS	MYL	698	U
KLF	VSG	282	HU
CIU	KRP	691	HU
JHZ	BUN	292	HU
BWO	DED	472	U
BDV	XUL	457	U
KOV	NWY	614	U
CLK	TKE	144	N
MTJ	TLF	448	N
QZO	WVH	472	N
YTD	DRR	611	U
OQM	SWT	724	HU
GQI	PUN	303	U
EOH	XKY	565	HU
VPO	FCU	589	HU
QSD	ANY	736	HU
EEZ	HMZ	482	N
UWV	MYG	729	HU
SEH	KQU	517	HU
GZC	QGP	440	HU
SJN	ZPO	602	HU
QXV	LXX	556	U
UEB	STC	576	N
HDZ	DVR	700	U
EDI	ZFO	442	N
RRN	DYX	452	U
OUG	CEM	459	U
JCF	BUS	714	U
LVL	WAL	890	U
FSK	DRV	692	N
FUM	PAD	707	N
SLR	UUB	853	N
QQE	KNR	385	U
SFM	TVY	205	HU
NUB	MRB	277	HU
THJ	EDI	550	N
UKE	EBF	504	N
TKJ	FFJ	43	N
CGQ	HJX	737	HU
KZS	YVJ	456	U
MLJ	YKD	488	N
DYX	BKV	581	HU
RPD	NVT	238	U
KNR	JRF	358	HU
DRL	KUI	706	U
IJD	MHV	894	HU
DNL	SJN	637	N
WTO	AKP	647	HU
CHS	GWQ	158	U
VKA	XSD	710	U
DDC	ZQJ	724	N
IOY	ECV	429	U
UEA	WGO	537	U
DEG	FPI	684	HU
OEF	YSR	930	N
BDV	ANY	278	HU
IPY	YTD	705	U
UAD	GWQ	775	U
APT	YJG	682	HU
JTW	OWR	558	N
JGK	EKM	469	HU
OVH	NXQ	532	N
UIZ	GGJ	673	N
XZE	ZCV	284	N
URY	BBH	255	HU
JTW	EOZ	357	U
KNG	JHG	215	N
YMC	SZB	166	U
XKY	NER	775	U
NSL	FIW	316	U
GYS	ZAG	399	U
VOM	ZHF	273	N
FAF	RGG	602	U
BQC	VLW	605	N
CIM	SKP	737	U
OUQ	TBC	407	U
SHU	WBY	748	N
VCD	GED	527	U
PRS	ZQM	240	U
BHP	VIX	730	HU
NIN	XAD	802	N
SMD	ANY	660	HU
WBY	FWK	413	N
QGZ	WXE	231	N
QRS	QMZ	507	N
TTS	YVF	230	N
JYB	SSP	137	HU
DOA	JIA	640	N
YBW	KOK	440	N
GTY	JOZ	420	N
RWT	OPV	371	N
PQT	CEM	763	U
SLU	JYB	183	HU
TTP	JHZ	411	HU
BUP	QJQ	613	U
VCH	IJD	558	U
ZJB	IHI	376	HU
HMA	DYE	487	U
YCO	MYG	461	HU
UCA	PIH	836	HU
QGZ	BBH	520	N
EEM	ZWM	369	N
XAP	ODH	737	N
FRM	XCD	245	N
NKZ	ZGX	607	HU
WVY	GFM	746	N
XVV	OVH	266	N
VNP	TYX	564	N
ZPO	EIQ	690	U
DOJ	AEG	723	U
EVS	TKJ	804	HU
QRS	MGI	883	HU
JHG	MTJ	540	U
PGD	DVH	330	U
YKU	HSU	348	HU
OLL	AYK	639	HU
KHM	GFM	185	HU
GBV	MYL	600	N
FZM	LGB	269	HU
QGP	PKO	314	HU
YXH	MTK	568	U
LZB	JLP	382	N
GBP	JLY	334	N
JGG	MGI	367	U
GHK	WTC	783	N
DOJ	ROO	225	U
RBL	PIH	521	U
GYR	LWN	406	U
EOB	OBY	1092	N
UWM	UEA	468	U
HBF	VWX	863	U
AEG	XTX	672	HU
HPD	KEU	186	U
BFY	UWR	603	HU
BQI	GWQ	639	N
XKP	JHH	505	U
CGW	NDQ	109	HU
PCI	WTO	949	U
VRW	ZHF	462	U
TKA	TKE	219	N
DWF	OUG	749	HU
LKR	HSX	450	N
HDZ	CNE	549	N
WKS	NOI	344	N
NIV	KNI	141	HU
WCF	CJG	466	U
TKJ	PWI	650	U
KEU	ZFS	496	U
BHB	EVJ	505	U
PGE	DDV	544	HU
VSG	CBO	579	HU
BAX	STC	447	U
NGH	RJY	439	U
SEH	UKE	353	HU
AXX	SIV	223	N
PID	DDK	211	U
CJG	IKW	342	N
EKM	BUS	351	U
WPO	QRM	421	U
HTL	SOQ	256	N
SIM	ILL	321	U
QVN	GIC	799	HU
BHA	NOG	574	HU
TGG	TNS	552	HU
JLP	OCX	495	HU
VSJ	EBF	316	N
CIN	SIM	381	HU
DRL	ONK	425	U
KKP	RVS	517	HU
VLW	EOZ	493	N
HGD	FUX	861	U
BQI	QRM	431	U
PML	HRF	350	HU
FQM	QRM	172	N
XSS	NQP	299	HU
LOB	YZA	1019	HU
QYJ	OMZ	560	U
KUL	JGK	681	N
GRC	DRV	541	HU
VNP	GZE	535	HU
JGG	GZO	466	HU
ACC	GYR	611	HU
FPI	CBV	788	N
SJI	QOY	680	N
DAZ	AAK	455	HU
NGS	VKO	521	HU
UYU	GJV	210	U
RBL	TRA	727	U
HPA	ZHF	862	HU
WTJ	IOY	197	HU
FLU	FCU	496	U
HNK	UWT	323	N
GHY	TKJ	260	N
KQH	RFL	713	N
SFL	FUM	733	N
VJA	MRB	905	U
OJA	UHB	600	HU
CHM	JCF	135	U
WBY	ABO	597	U
UYB	MCY	361	U
EJV	ZIM	460	U
OUG	ICL	548	N
CEM	NQP	514	U
OKU	MFI	658	HU
UWR	UYB	368	HU
OUQ	JRS	364	U
BHP	QYJ	536	U
YQM	ALJ	675	U
DNH	GGJ	421	N
BQI	AYI	366	N
ETI	NQP	297	U
RJX	RCT	349	HU
HWB	OMK	443	N
QTZ	LQN	266	U
XKJ	VKA	638	U
KLF	GAM	88	HU
SQA	NIV	469	U
OPV	XSS	211	N
WCF	BOD	743	N
UIZ	KUA	397	HU
WGA	FGF	725	HU
OJA	OMZ	416	N
NWY	FSK	457	N
TGZ	KME	295	N
QGP	QRS	116	N
IPZ	GFM	829	N
QTZ	QSU	217	U
NIV	FZZ	1013	HU
AEL	MHR	565	HU
QJQ	FUX	386	HU
WDQ	RWT	639	HU
BGC	NRU	676	N
JPB	CZY	454	N
UES	RDR	527	N
MCY	HEG	868	HU
JLJ	GZE	218	U
QRG	IHI	490	HU
AOF	NGS	658	HU
ATK	GMI	217	HU
SWX	XAH	142	HU
SFB	FJD	770	HU
EWS	XKJ	350	U
CXU	OTD	292	U
UEA	ZGX	492	HU
OHP	SKP	389	N
TVY	PFK	388	U
ICL	IGF	216	U
AGK	OBI	318	HU
EVT	QVR	669	N
OVH	OCX	599	HU
MZD	BGV	372	N
PMV	VFO	983	N
GHY	MZD	796	HU
OMZ	PNL	352	N
HCB	PIH	480	HU
RVS	GJK	147	U
EDR	LPK	691	HU
PFK	CJM	611	U
SQA	UCW	400	U
YPK	KWZ	461	U
BLT	JRS	517	HU
NRH	AJY	703	U
KHW	UEA	306	U
NTD	CKH	713	U
HZZ	QPC	651	HU
DDK	MJU	359	HU
UHB	EWS	442	U
NVN	CEM	868	N
FIX	NWY	468	U
BAB	HQX	222	N
BUN	BWO	205	U
NSL	IWU	486	HU
ZVR	ZOP	547	N
RPD	WFM	550	N
NKZ	ZGX	447	HU
KPZ	VQE	104	HU
NYT	PPW	410	U
VKS	BTW	685	HU
JOJ	UHB	36	U
SYS	MTJ	622	HU
BGV	THN	205	U
WAL	TBY	456	HU
UAD	YJP	219	N
DAZ	OBY	664	U
DVB	JIA	381	U
RRN	TBC	584	U
SRE	TPT	339	U
FCY	JYB	263	N
WTC	JPE	198	N
WVH	YVI	268	N
PMV	OBY	429	N
KGV	BSE	777	N
KME	CEP	613	U
GWX	XAH	372	U
QVW	ONC	547	HU
FLU	OUQ	299	N
ARR	LOB	376	N
HZZ	KCM	531	N
VNU	BGC	1036	U
WTJ	DED	545	U
CTR	IKW	520	U
UUM	WMF	39	N
GZM	KFE	735	U
TIP	SWT	749	U
LUQ	TRK	175	HU
QRG	VRW	499	N
VKO	UBZ	332	N
EIV	JEG	523	U
VLG	VIX	399	HU
NYT	BGC	705	U
KHM	SDJ	543	HU
FCU	GYR	517	N
NRH	QSU	577	HU
QGQ	EDI	136	HU
PNU	PIH	265	N
HGA	NOH	773	U
RGG	ROO	538	N
LVL	NGF	581	HU
SFM	BGA	218	U
LRF	CFU	934	HU
KUI	ZGI	392	HU
DNL	VYG	597	N
GWQ	XWM	447	HU
EFC	QMI	684	N
LPK	ANY	317	U
BMT	LBB	696	N
HSU	YXD	700	N
IUQ	DXL	341	HU
SHG	WLW	168	N
AVM	QVR	580	HU
LWN	QGP	30	HU
LUQ	KIK	646	HU
ZQJ	LPK	651	U
JNF	NUB	657	HU
VRW	FIX	431	U
SOQ	DVR	864	U
FMK	KFE	470	N
MIA	PRR	305	N
NTD	UIO	422	HU
MIW	UIO	247	HU
HJX	NCW	244	HU
RRJ	UDH	540	HU
VOM	FPI	509	N
LGV	JMU	392	U
JKR	PFK	456	U
HFP	MTJ	468	HU
PAD	JRS	438	U
LQN	KNG	853	HU
ZWM	MHR	381	HU
WCB	NRH	637	N
CJM	MZD	431	N
GOX	WMF	287	N
WIQ	FWK	312	U
GWX	VSP	531	U
JAZ	LUQ	385	HU
MOI	XPK	531	U
WMF	WNS	568	N
QVR	RRJ	647	HU
BNS	SKK	295	HU
OWU	BTY	772	N
OKU	XKY	116	HU
XKP	YVB	115	U
XLY	XQF	727	N
GVY	JMU	748	U
WGM	XHN	268	HU
UQR	XWM	599	N
FVE	TDX	233	HU
PBY	HFP	818	N
ZZQ	MRZ	512	HU
WSK	ADN	470	U
BOD	WPO	431	N
SBH	HVJ	250	HU
QGP	HBF	668	HU
